,animal,session,cluster ID,Choice modulation,depth
284,BS_41,BS_41_5_AC.pickle,85,0.2269503546099288,0.787
285,BS_41,BS_41_6_AC.pickle,1,0.5760626398210289,0.8885
286,BS_41,BS_41_6_AC.pickle,3,0.23489932885906079,0.926
287,BS_41,BS_41_6_AC.pickle,6,0.3010752688172043,0.9385
288,BS_41,BS_41_6_AC.pickle,7,1.4093959731543622,0.7635
289,BS_41,BS_41_6_AC.pickle,32,0.9276437847866421,0.9385
290,BS_41,BS_41_7_AC.pickle,0,1.4252873563218385,1.1325
291,BS_41,BS_41_7_AC.pickle,24,0.4918032786885251,0.445
292,BS_41,BS_41_7_AC.pickle,36,1.2360289283366201,0.495
293,BS_41,BS_41_7_AC.pickle,39,0.22408963585434183,0.745
294,BS_41,BS_41_7_AC.pickle,50,1.111111111111111,0.92
295,BS_41,BS_41_7_AC.pickle,54,0.293103448275862,0.8075
296,BS_41,BS_41_7_AC.pickle,55,0.718390804597701,0.745
297,BS_41,BS_41_7_AC.pickle,57,0.3908045977011496,0.7575
298,BS_41,BS_41_7_AC.pickle,59,1.1090573012938998,0.4825
299,BS_41,BS_41_7_AC.pickle,62,2.224842767295598,0.5575
300,BS_41,BS_41_7_AC.pickle,63,0.6436781609195403,0.57
301,BS_41,BS_41_7_AC.pickle,64,1.3908045977011492,0.5825
302,BS_41,BS_41_7_AC.pickle,73,0.09870918754745639,0.8825
303,BS_41,BS_41_7_AC.pickle,76,0.039447731755424084,0.8075
304,BS_41,BS_41_7_AC.pickle,81,0.13590844062947077,0.5325
305,BS_41,BS_41_7_AC.pickle,96,0.2130325814536342,0.5325
306,BS_41,BS_41_8_AC.pickle,13,0.8196721311475413,-0.055
307,BS_41,BS_41_8_AC.pickle,15,1.6100323624595465,-0.03
308,BS_41,BS_41_8_AC.pickle,16,0.20666666666666703,-0.03
309,BS_41,BS_41_8_AC.pickle,17,0.3777777777777777,-0.005
310,BS_41,BS_41_8_AC.pickle,25,0.11228070175438584,0.145
311,BS_41,BS_41_8_AC.pickle,40,0.40000000000000013,0.395
312,BS_41,BS_41_8_AC.pickle,49,0.008936550491510188,-0.0425
313,BS_41,BS_41_8_AC.pickle,57,0.35087719298245595,-0.055
314,BS_41,BS_41_8_AC.pickle,58,1.3406795224977042,-0.005
315,BS_41,BS_41_8_AC.pickle,59,0.2130898021308974,-0.005
316,BS_41,BS_41_8_AC.pickle,60,4.9625468164794,0.245
317,BS_41,BS_41_8_AC.pickle,61,0.04385964912280689,0.145
318,BS_41,BS_41_8_AC.pickle,66,0.4999999999999999,0.3575
319,BS_41,BS_41_8_AC.pickle,67,0.5859969558599695,0.3575
320,BS_41,BS_41_8_AC.pickle,69,0.16867469879518085,-0.0675
321,BS_41,BS_41_8_AC.pickle,72,0.4501607717041802,0.3825
