,animal,session,cluster,p value
328,BS_49,BS_49_1_AC.pickle,143,0.9578220995573792
329,BS_49,BS_49_1_AC.pickle,146,0.5439072891083578
330,BS_49,BS_49_1_AC.pickle,150,0.2781493629521583
331,BS_49,BS_49_1_AC.pickle,152,0.006586751514830826
332,BS_49,BS_49_1_AC.pickle,161,0.38443250742549917
333,BS_49,BS_49_1_AC.pickle,178,0.05664152794727048
334,BS_49,BS_49_2_AC.pickle,4,0.3130499865387381
335,BS_49,BS_49_2_AC.pickle,6,0.5987603799000536
336,BS_49,BS_49_2_AC.pickle,17,0.6873417293270246
337,BS_49,BS_49_2_AC.pickle,39,0.8834703014932237
338,BS_49,BS_49_2_AC.pickle,42,0.32964707914028657
339,BS_49,BS_49_2_AC.pickle,60,0.8162125964787029
340,BS_49,BS_49_2_AC.pickle,66,0.6648454335204175
341,BS_49,BS_49_2_AC.pickle,78,0.2887378893495775
342,BS_49,BS_49_2_AC.pickle,86,0.15171128214149002
343,BS_49,BS_49_2_AC.pickle,90,0.40654217683853455
344,BS_49,BS_49_2_AC.pickle,102,0.6374646649370834
345,BS_49,BS_49_2_AC.pickle,122,0.464366991317149
346,BS_49,BS_49_4_AC.pickle,0,0.6525614628216116
347,BS_49,BS_49_4_AC.pickle,9,0.948209087491715
348,BS_49,BS_49_4_AC.pickle,11,0.4795038677973348
349,BS_49,BS_49_4_AC.pickle,14,0.5989286086481616
350,BS_49,BS_49_4_AC.pickle,20,0.5403201553790771
351,BS_49,BS_49_4_AC.pickle,25,1.0
352,BS_49,BS_49_4_AC.pickle,27,0.21366224006428813
353,BS_49,BS_49_4_AC.pickle,29,0.12461834148181491
354,BS_49,BS_49_4_AC.pickle,46,0.37420057111307925
355,BS_49,BS_49_4_AC.pickle,53,0.8064275289166347
356,BS_49,BS_49_4_AC.pickle,56,0.571340178562253
357,BS_49,BS_49_4_AC.pickle,68,0.2142220675882219
358,BS_49,BS_49_5_AC.pickle,9,0.29444711169598464
359,BS_49,BS_49_5_AC.pickle,14,0.04378936788554862
