,animal,session,cluster ID,Choice modulation,category
288,BS_41,BS_41_6_AC.pickle,7,1.4093959731543622,CR (enhanced)
289,BS_41,BS_41_6_AC.pickle,32,0.9276437847866421,Inconclusive
290,BS_41,BS_41_7_AC.pickle,0,1.4252873563218385,CR (enhanced)
291,BS_41,BS_41_7_AC.pickle,24,0.4918032786885251,NCR
292,BS_41,BS_41_7_AC.pickle,36,1.2360289283366201,CR (enhanced)
293,BS_41,BS_41_7_AC.pickle,39,0.22408963585434183,Inconclusive
294,BS_41,BS_41_7_AC.pickle,50,1.111111111111111,Inconclusive
295,BS_41,BS_41_7_AC.pickle,54,0.293103448275862,NCR
296,BS_41,BS_41_7_AC.pickle,55,0.718390804597701,Inconclusive
297,BS_41,BS_41_7_AC.pickle,57,0.3908045977011496,Inconclusive
298,BS_41,BS_41_7_AC.pickle,59,1.1090573012938998,Inconclusive
299,BS_41,BS_41_7_AC.pickle,62,2.224842767295598,CR (suppressed)
300,BS_41,BS_41_7_AC.pickle,63,0.6436781609195403,Inconclusive
301,BS_41,BS_41_7_AC.pickle,64,1.3908045977011492,Inconclusive
302,BS_41,BS_41_7_AC.pickle,73,0.09870918754745639,NCR
303,BS_41,BS_41_7_AC.pickle,76,0.039447731755424084,NCR
304,BS_41,BS_41_7_AC.pickle,81,0.13590844062947077,NCR
305,BS_41,BS_41_7_AC.pickle,96,0.2130325814536342,NCR
306,BS_41,BS_41_8_AC.pickle,13,0.8196721311475413,Inconclusive
307,BS_41,BS_41_8_AC.pickle,15,1.6100323624595465,CR (enhanced)
308,BS_41,BS_41_8_AC.pickle,16,0.20666666666666703,NCR
309,BS_41,BS_41_8_AC.pickle,17,0.3777777777777777,Inconclusive
310,BS_41,BS_41_8_AC.pickle,25,0.11228070175438584,NCR
311,BS_41,BS_41_8_AC.pickle,40,0.40000000000000013,NCR
312,BS_41,BS_41_8_AC.pickle,49,0.008936550491510188,NCR
313,BS_41,BS_41_8_AC.pickle,57,0.35087719298245595,Inconclusive
314,BS_41,BS_41_8_AC.pickle,58,1.3406795224977042,CR (enhanced)
315,BS_41,BS_41_8_AC.pickle,59,0.2130898021308974,Inconclusive
316,BS_41,BS_41_8_AC.pickle,60,4.9625468164794,CR (enhanced)
317,BS_41,BS_41_8_AC.pickle,61,0.04385964912280689,NCR
318,BS_41,BS_41_8_AC.pickle,66,0.4999999999999999,NCR
319,BS_41,BS_41_8_AC.pickle,67,0.5859969558599695,Inconclusive
320,BS_41,BS_41_8_AC.pickle,69,0.16867469879518085,NCR
321,BS_41,BS_41_8_AC.pickle,72,0.4501607717041802,NCR
322,BS_41,BS_41_8_AC.pickle,77,0.6266666666666674,Inconclusive
323,BS_41,BS_41_8_AC.pickle,79,2.2055137844611523,CR (enhanced)
324,BS_41,BS_41_8_AC.pickle,82,4.003152088258471,CR (suppressed)
325,BS_41,BS_41_8_AC.pickle,89,0.23980815347721818,NCR
326,BS_41,BS_41_9_AC.pickle,3,2.0508054522924413,Inconclusive
327,BS_41,BS_41_9_AC.pickle,23,0.9552845528455286,NCR
328,BS_41,BS_41_9_AC.pickle,24,0.9496124031007754,NCR
329,BS_41,BS_41_9_AC.pickle,37,7.298435619735258,CR (enhanced)
330,BS_41,BS_41_9_AC.pickle,70,0.23333333333333342,NCR
331,BS_41,BS_41_9_AC.pickle,75,0.03333333333333338,NCR
332,BS_41,BS_41_9_AC.pickle,78,0.2833333333333334,NCR
333,BS_41,BS_41_9_AC.pickle,80,3.0333333333333323,Inconclusive
334,BS_41,BS_41_9_AC.pickle,101,1.172222222222222,Inconclusive
335,BS_41,BS_41_9_AC.pickle,102,0.6393544382371199,NCR
336,BS_41,BS_41_9_AC.pickle,103,0.09425878320479862,NCR
337,BS_41,BS_41_9_AC.pickle,109,0.22222222222222232,NCR
338,BS_41,BS_41_9_AC.pickle,125,0.05952380952380958,NCR
339,BS_42,BS_42_10_AC.pickle,3,1.9758672699849167,Inconclusive
340,BS_42,BS_42_10_AC.pickle,8,2.8959276018099547,CR (enhanced)
