,animal,session,cluster,p value
394,BS_50,BS_50_3_AC.pickle,34,0.3603972829730627
395,BS_50,BS_50_3_AC.pickle,41,0.7950351665939909
396,BS_50,BS_50_3_AC.pickle,45,0.8271219743422092
397,BS_50,BS_50_7_AC.pickle,3,0.6964681727640553
398,BS_50,BS_50_7_AC.pickle,5,0.010244163353013473
399,BS_50,BS_50_7_AC.pickle,10,0.4148361314714323
400,BS_50,BS_50_7_AC.pickle,12,0.1557460746152948
401,BS_50,BS_50_7_AC.pickle,20,0.5907199759241308
402,BS_50,BS_50_7_AC.pickle,23,0.011726884266683073
403,BS_51,BS_51_2_AC.pickle,3,0.46502624414199323
404,BS_51,BS_51_2_AC.pickle,7,0.460818268506883
405,BS_51,BS_51_2_AC.pickle,12,0.8134689825018042
406,BS_56,BS_56_1_AC.pickle,16,1.0
407,BS_56,BS_56_3_AC.pickle,2,0.4738308319553586
408,BS_56,BS_56_3_AC.pickle,7,0.7887712461898909
409,BS_56,BS_56_3_AC.pickle,13,0.42043845014647263
410,BS_56,BS_56_3_AC.pickle,20,0.6198216405860844
411,BS_56,BS_56_3_AC.pickle,31,0.8174208282195057
412,BS_56,BS_56_3_AC.pickle,35,0.5536099100745038
413,BS_56,BS_56_4_AC.pickle,5,0.07747115745522824
414,BS_56,BS_56_4_AC.pickle,6,0.4322851734185367
415,BS_70,BS_70_10_AC.pickle,11,0.0021493966012487687
416,BS_70,BS_70_10_AC.pickle,16,0.5250087027736285
417,BS_70,BS_70_10_AC.pickle,19,0.06966753456469356
418,BS_70,BS_70_10_AC.pickle,27,0.5820527645064746
419,BS_70,BS_70_10_AC.pickle,30,0.06586466913818721
420,BS_70,BS_70_10_AC.pickle,37,0.4411980558407266
421,BS_70,BS_70_10_AC.pickle,38,0.8979719502837906
422,BS_70,BS_70_10_AC.pickle,41,0.12550713493480287
423,BS_70,BS_70_10_AC.pickle,43,0.5208484491596203
424,BS_70,BS_70_11_AC.pickle,14,0.028824793545911137
425,BS_70,BS_70_11_AC.pickle,15,0.22181218008280779
426,BS_70,BS_70_11_AC.pickle,18,0.0015376202860255756
427,BS_70,BS_70_11_AC.pickle,23,0.13683570299639625
428,BS_70,BS_70_11_AC.pickle,32,0.43887286208570964
429,BS_70,BS_70_11_AC.pickle,35,0.5528790778664383
430,BS_70,BS_70_11_AC.pickle,37,0.08852917359625638
431,BS_70,BS_70_11_AC.pickle,38,0.7279982020828236
432,BS_70,BS_70_12_AC.pickle,6,0.06308248373448216
433,BS_70,BS_70_12_AC.pickle,7,0.13354413671887927
434,BS_70,BS_70_12_AC.pickle,19,0.8314295827096738
