,animal,session,cluster ID,learning phase,FR modulation,control decoding performance
259,BS_41,BS_41_4_AC.pickle,66,post late,4.147582697201017,0.502866497
260,BS_41,BS_41_4_AC.pickle,72,post late,2.5572519083969483,0.4995549
261,BS_41,BS_41_4_AC.pickle,73,post late,5.979643765903314,0.497588054
262,BS_41,BS_41_4_AC.pickle,77,post late,1.4122137404580175,0.505243929
263,BS_41,BS_41_4_AC.pickle,84,post late,1.4376590330788803,0.499670137
264,BS_41,BS_41_4_AC.pickle,87,post late,1.8984547461368655,0.507995038
265,BS_41,BS_41_4_AC.pickle,95,post late,2.4300254452926198,0.498216053
266,BS_41,BS_41_4_AC.pickle,96,post late,3.2569974554707333,0.501681443
267,BS_41,BS_41_4_AC.pickle,97,post late,0.512820512820513,0.50749535
268,BS_41,BS_41_4_AC.pickle,100,post late,0.9629629629629626,0.505260993
269,BS_41,BS_41_4_AC.pickle,101,post late,7.137404580152674,0.499222837
270,BS_41,BS_41_4_AC.pickle,109,post late,3.7150127226463154,0.496086969
271,BS_41,BS_41_4_AC.pickle,110,post late,3.9312977099236615,0.497339284
272,BS_41,BS_41_4_AC.pickle,114,post late,0.8905852417302781,0.499621894
273,BS_41,BS_41_4_AC.pickle,115,post late,6.22137404580154,0.497154978
274,BS_41,BS_41_4_AC.pickle,117,post late,9.707379134860044,0.503043813
275,BS_41,BS_41_4_AC.pickle,119,post late,3.3842239185750564,0.496139129
276,BS_41,BS_41_5_AC.pickle,2,post late,3.881188118811891,0.496013372
277,BS_41,BS_41_5_AC.pickle,6,post late,1.6986301369863024,0.496742569
278,BS_41,BS_41_5_AC.pickle,13,post late,7.492354740061158,0.499058725
279,BS_41,BS_41_5_AC.pickle,15,post late,2.587064676616916,0.502869715
280,BS_41,BS_41_5_AC.pickle,67,post late,1.629629629629632,0.492286751
281,BS_41,BS_41_5_AC.pickle,68,post late,2.9226361031518597,0.505782127
282,BS_41,BS_41_5_AC.pickle,73,post late,7.102310231023097,0.505941168
283,BS_41,BS_41_5_AC.pickle,74,post late,4.543524416135881,0.49732782
284,BS_41,BS_41_5_AC.pickle,85,post late,1.6312056737588698,0.505236188
285,BS_41,BS_41_6_AC.pickle,1,post late,3.7472035794183456,0.497430437
286,BS_41,BS_41_6_AC.pickle,3,post late,12.114093959731518,0.496489297
287,BS_41,BS_41_6_AC.pickle,6,post late,0.5591397849462366,0.489814904
288,BS_41,BS_41_6_AC.pickle,7,post late,7.483221476510067,0.496626248
289,BS_41,BS_41_6_AC.pickle,32,post late,1.4100185528756946,0.498235509
290,BS_41,BS_41_7_AC.pickle,0,post late,2.011494252873561,0.498852381
291,BS_41,BS_41_7_AC.pickle,24,post late,5.755919854280489,0.49974861
292,BS_41,BS_41_7_AC.pickle,36,post late,5.101906640368181,0.502575011
293,BS_41,BS_41_7_AC.pickle,39,post late,1.0644257703081232,
294,BS_41,BS_41_7_AC.pickle,50,post late,1.3308913308913324,0.498354347
295,BS_41,BS_41_7_AC.pickle,54,post late,3.1724137931034457,0.500414286
296,BS_41,BS_41_7_AC.pickle,55,post late,1.3218390804597726,0.500590476
297,BS_41,BS_41_7_AC.pickle,57,post late,1.1839080459770113,0.497504762
298,BS_41,BS_41_7_AC.pickle,59,post late,10.240295748613654,0.502647524
299,BS_41,BS_41_7_AC.pickle,62,post late,3.238993710691824,0.501796726
300,BS_41,BS_41_7_AC.pickle,63,post late,1.6781609195402274,0.503030952
301,BS_41,BS_41_7_AC.pickle,64,post late,3.9080459770115,0.500938095
302,BS_41,BS_41_7_AC.pickle,73,post late,0.6226271829916474,0.500891879
303,BS_41,BS_41_7_AC.pickle,76,post late,0.39447731755424054,0.500227198
304,BS_41,BS_41_7_AC.pickle,81,post late,0.5865522174535049,0.501236018
305,BS_41,BS_41_7_AC.pickle,96,post late,0.9273182957393497,0.501734687
306,BS_41,BS_41_8_AC.pickle,13,post late,3.138173302107734,0.501257492
307,BS_41,BS_41_8_AC.pickle,15,post late,2.022653721682849,0.504112907
308,BS_41,BS_41_8_AC.pickle,16,post late,1.4266666666666656,0.499109222
309,BS_41,BS_41_8_AC.pickle,17,post late,1.6444444444444446,0.502157979
310,BS_41,BS_41_8_AC.pickle,25,post late,2.512280701754389,0.495845401
311,BS_41,BS_41_8_AC.pickle,40,post late,2.099999999999997,0.505204503
312,BS_41,BS_41_8_AC.pickle,49,post late,0.8936550491510256,0.499873665
313,BS_41,BS_41_8_AC.pickle,57,post late,2.8771929824561395,0.501532918
314,BS_41,BS_41_8_AC.pickle,58,post late,1.616161616161617,0.508643523
315,BS_41,BS_41_8_AC.pickle,59,post late,6.636225266362248,0.497072061
316,BS_41,BS_41_8_AC.pickle,60,post late,11.086142322097386,0.504633907
317,BS_41,BS_41_8_AC.pickle,61,post late,10.087719298245611,0.496718031
318,BS_41,BS_41_8_AC.pickle,66,post late,0.720000000000001,0.496629998
319,BS_41,BS_41_8_AC.pickle,67,post late,1.5677321156773214,0.501453621
320,BS_41,BS_41_8_AC.pickle,69,post late,0.9156626506024096,0.503526442
321,BS_41,BS_41_8_AC.pickle,72,post late,1.6720257234726674,0.50124139
322,BS_41,BS_41_8_AC.pickle,77,post late,7.253333333333332,0.498923476
323,BS_41,BS_41_8_AC.pickle,79,post late,24.862155388471184,0.505462959
324,BS_41,BS_41_8_AC.pickle,82,post late,4.712371946414507,0.503921202
325,BS_41,BS_41_8_AC.pickle,89,post late,9.160671462829736,0.496034671
326,BS_41,BS_41_9_AC.pickle,3,post late,9.467162329615856,0.502773036
327,BS_41,BS_41_9_AC.pickle,23,post late,1.3821138211382107,0.502519411
328,BS_41,BS_41_9_AC.pickle,24,post late,2.9457364341085293,0.496625271
329,BS_41,BS_41_9_AC.pickle,37,post late,20.890493381468115,0.502901304
330,BS_41,BS_41_9_AC.pickle,70,post late,1.3166666666666673,0.499238567
331,BS_41,BS_41_9_AC.pickle,75,post late,0.6666666666666643,0.496311457
332,BS_41,BS_41_9_AC.pickle,78,post late,0.6333333333333333,0.503197995
333,BS_41,BS_41_9_AC.pickle,80,post late,25.0333333333333,0.498305895
334,BS_41,BS_41_9_AC.pickle,101,post late,1.4555555555555566,0.500659622
335,BS_41,BS_41_9_AC.pickle,102,post late,0.9186840471756689,0.498519706
336,BS_41,BS_41_9_AC.pickle,103,post late,0.3941730934018849,0.501719056
337,BS_41,BS_41_9_AC.pickle,109,post late,3.5777777777777753,0.49657842
338,BS_41,BS_41_9_AC.pickle,125,post late,0.49319727891156456,0.499648646
