,animal,session,cluster ID,FR modulation,depth
341,BS_42,BS_42_10_AC.pickle,10,4.645550527903469,0.47
342,BS_42,BS_42_10_AC.pickle,11,1.4781297134238316,0.8075
343,BS_42,BS_42_10_AC.pickle,17,0.6938159879336351,0.945
344,BS_42,BS_42_10_AC.pickle,18,2.9141716566866256,0.97
345,BS_42,BS_42_10_AC.pickle,20,1.1418047882136282,0.995
346,BS_42,BS_42_10_AC.pickle,26,15.656108597285073,0.7575
347,BS_42,BS_42_11_AC.pickle,1,2.8710462287104637,0.8325
348,BS_42,BS_42_11_AC.pickle,44,41.99513381995131,0.5825
349,BS_42,BS_42_11_AC.pickle,48,2.725060827250609,0.47
350,BS_42,BS_42_2_AC.pickle,3,3.813333333333332,1.07
351,BS_42,BS_42_2_AC.pickle,5,4.21256038647343,1.17
352,BS_42,BS_42_2_AC.pickle,7,2.131147540983604,1.0825
353,BS_42,BS_42_2_AC.pickle,8,26.400000000000002,1.0575
354,BS_42,BS_42_2_AC.pickle,9,3.727422003284073,1.195
355,BS_42,BS_42_2_AC.pickle,12,17.21333333333333,1.045
356,BS_42,BS_42_2_AC.pickle,14,50.14666666666665,1.02
357,BS_42,BS_42_2_AC.pickle,15,2.0800000000000036,1.22
358,BS_42,BS_42_2_AC.pickle,16,65.78666666666653,1.145
359,BS_42,BS_42_2_AC.pickle,17,5.573333333333335,1.145
360,BS_42,BS_42_2_AC.pickle,18,0.973333333333333,1.12
361,BS_42,BS_42_2_AC.pickle,27,11.066666666666672,0.695
362,BS_42,BS_42_2_AC.pickle,41,1.9066666666666656,0.72
363,BS_42,BS_42_2_AC.pickle,48,1.630347054075867,0.745
364,BS_42,BS_42_2_AC.pickle,54,16.600000000000005,1.12
365,BS_42,BS_42_2_AC.pickle,57,17.586666666666652,0.92
366,BS_42,BS_42_2_AC.pickle,61,8.893333333333334,0.945
367,BS_42,BS_42_2_AC.pickle,62,4.186666666666664,0.895
368,BS_42,BS_42_2_AC.pickle,64,6.693333333333342,0.895
369,BS_42,BS_42_2_AC.pickle,68,104.28000000000006,0.97
370,BS_42,BS_42_2_AC.pickle,69,41.93333333333338,0.995
371,BS_42,BS_42_2_AC.pickle,78,1.3999999999999992,0.87
372,BS_42,BS_42_2_AC.pickle,82,19.83999999999999,0.8575
373,BS_42,BS_42_2_AC.pickle,84,16.35756056808688,0.8325
374,BS_42,BS_42_2_AC.pickle,85,47.17333333333328,1.02
375,BS_42,BS_42_2_AC.pickle,86,22.45333333333335,1.02
376,BS_42,BS_42_2_AC.pickle,89,2.986666666666662,0.7825
377,BS_42,BS_42_2_AC.pickle,100,0.9440813362381991,0.7075
378,BS_42,BS_42_2_AC.pickle,108,8.469241773962796,0.57
379,BS_42,BS_42_2_AC.pickle,112,12.63492063492064,1.1825
380,BS_42,BS_42_2_AC.pickle,115,2.3129251700680267,0.595
381,BS_42,BS_42_2_AC.pickle,116,0.3765227021040976,0.67
382,BS_42,BS_42_2_AC.pickle,118,6.250000000000001,0.6325
383,BS_42,BS_42_2_AC.pickle,119,1.0789980732177264,0.92
384,BS_42,BS_42_2_AC.pickle,121,3.6266666666666616,0.97
385,BS_42,BS_42_2_AC.pickle,128,0.8923884514435696,0.8325
386,BS_42,BS_42_2_AC.pickle,129,1.233689205219454,0.7575
