,animal,session,cluster ID,FR modulation,category
256,BS_41,BS_41_4_AC.pickle,55,3.829516539440207,Inconclusive
257,BS_41,BS_41_4_AC.pickle,57,12.60814249363868,CR (enhanced)
258,BS_41,BS_41_4_AC.pickle,64,5.343511450381697,Inconclusive
259,BS_41,BS_41_4_AC.pickle,66,4.147582697201017,CR (enhanced)
260,BS_41,BS_41_4_AC.pickle,72,2.5572519083969483,CR (suppressed)
261,BS_41,BS_41_4_AC.pickle,73,5.979643765903314,Inconclusive
262,BS_41,BS_41_4_AC.pickle,77,1.4122137404580175,NCR
263,BS_41,BS_41_4_AC.pickle,84,1.4376590330788803,NCR
264,BS_41,BS_41_4_AC.pickle,87,1.8984547461368655,Inconclusive
265,BS_41,BS_41_4_AC.pickle,95,2.4300254452926198,Inconclusive
266,BS_41,BS_41_4_AC.pickle,96,3.2569974554707333,Inconclusive
267,BS_41,BS_41_4_AC.pickle,97,0.512820512820513,NCR
268,BS_41,BS_41_4_AC.pickle,100,0.9629629629629626,NCR
269,BS_41,BS_41_4_AC.pickle,101,7.137404580152674,CR (suppressed)
270,BS_41,BS_41_4_AC.pickle,109,3.7150127226463154,Inconclusive
271,BS_41,BS_41_4_AC.pickle,110,3.9312977099236615,CR (enhanced)
272,BS_41,BS_41_4_AC.pickle,114,0.8905852417302781,NCR
273,BS_41,BS_41_4_AC.pickle,115,6.22137404580154,Inconclusive
274,BS_41,BS_41_4_AC.pickle,117,9.707379134860044,CR (enhanced)
275,BS_41,BS_41_4_AC.pickle,119,3.3842239185750564,Inconclusive
276,BS_41,BS_41_5_AC.pickle,2,3.881188118811891,CR (suppressed)
277,BS_41,BS_41_5_AC.pickle,6,1.6986301369863024,NCR
278,BS_41,BS_41_5_AC.pickle,13,7.492354740061158,CR (enhanced)
279,BS_41,BS_41_5_AC.pickle,15,2.587064676616916,Inconclusive
280,BS_41,BS_41_5_AC.pickle,67,1.629629629629632,NCR
281,BS_41,BS_41_5_AC.pickle,68,2.9226361031518597,Inconclusive
282,BS_41,BS_41_5_AC.pickle,73,7.102310231023097,CR (suppressed)
283,BS_41,BS_41_5_AC.pickle,74,4.543524416135881,Inconclusive
284,BS_41,BS_41_5_AC.pickle,85,1.6312056737588698,Inconclusive
285,BS_41,BS_41_6_AC.pickle,1,3.7472035794183456,Inconclusive
286,BS_41,BS_41_6_AC.pickle,3,12.114093959731518,Inconclusive
287,BS_41,BS_41_6_AC.pickle,6,0.5591397849462366,NCR
288,BS_41,BS_41_6_AC.pickle,7,7.483221476510067,CR (enhanced)
289,BS_41,BS_41_6_AC.pickle,32,1.4100185528756946,Inconclusive
290,BS_41,BS_41_7_AC.pickle,0,2.011494252873561,Inconclusive
291,BS_41,BS_41_7_AC.pickle,24,5.755919854280489,NCR
292,BS_41,BS_41_7_AC.pickle,36,5.101906640368181,NCR
293,BS_41,BS_41_7_AC.pickle,39,1.0644257703081232,Inconclusive
294,BS_41,BS_41_7_AC.pickle,50,1.3308913308913324,NCR
295,BS_41,BS_41_7_AC.pickle,54,3.1724137931034457,Inconclusive
296,BS_41,BS_41_7_AC.pickle,55,1.3218390804597726,NCR
297,BS_41,BS_41_7_AC.pickle,57,1.1839080459770113,NCR
298,BS_41,BS_41_7_AC.pickle,59,10.240295748613654,CR (enhanced)
299,BS_41,BS_41_7_AC.pickle,62,3.238993710691824,CR (suppressed)
300,BS_41,BS_41_7_AC.pickle,63,1.6781609195402274,Inconclusive
301,BS_41,BS_41_7_AC.pickle,64,3.9080459770115,CR (enhanced)
302,BS_41,BS_41_7_AC.pickle,73,0.6226271829916474,NCR
303,BS_41,BS_41_7_AC.pickle,76,0.39447731755424054,NCR
304,BS_41,BS_41_7_AC.pickle,81,0.5865522174535049,NCR
305,BS_41,BS_41_7_AC.pickle,96,0.9273182957393497,NCR
306,BS_41,BS_41_8_AC.pickle,13,3.138173302107734,Inconclusive
307,BS_41,BS_41_8_AC.pickle,15,2.022653721682849,NCR
308,BS_41,BS_41_8_AC.pickle,16,1.4266666666666656,NCR
309,BS_41,BS_41_8_AC.pickle,17,1.6444444444444446,Inconclusive
310,BS_41,BS_41_8_AC.pickle,25,2.512280701754389,NCR
311,BS_41,BS_41_8_AC.pickle,40,2.099999999999997,Inconclusive
312,BS_41,BS_41_8_AC.pickle,49,0.8936550491510256,NCR
313,BS_41,BS_41_8_AC.pickle,57,2.8771929824561395,NCR
314,BS_41,BS_41_8_AC.pickle,58,1.616161616161617,NCR
315,BS_41,BS_41_8_AC.pickle,59,6.636225266362248,Inconclusive
316,BS_41,BS_41_8_AC.pickle,60,11.086142322097386,CR (enhanced)
317,BS_41,BS_41_8_AC.pickle,61,10.087719298245611,CR (enhanced)
318,BS_41,BS_41_8_AC.pickle,66,0.720000000000001,NCR
319,BS_41,BS_41_8_AC.pickle,67,1.5677321156773214,Inconclusive
320,BS_41,BS_41_8_AC.pickle,69,0.9156626506024096,NCR
321,BS_41,BS_41_8_AC.pickle,72,1.6720257234726674,NCR
322,BS_41,BS_41_8_AC.pickle,77,7.253333333333332,Inconclusive
323,BS_41,BS_41_8_AC.pickle,79,24.862155388471184,CR (enhanced)
324,BS_41,BS_41_8_AC.pickle,82,4.712371946414507,CR (suppressed)
325,BS_41,BS_41_8_AC.pickle,89,9.160671462829736,CR (enhanced)
326,BS_41,BS_41_9_AC.pickle,3,9.467162329615856,CR (enhanced)
327,BS_41,BS_41_9_AC.pickle,23,1.3821138211382107,Inconclusive
328,BS_41,BS_41_9_AC.pickle,24,2.9457364341085293,CR (suppressed)
329,BS_41,BS_41_9_AC.pickle,37,20.890493381468115,CR (enhanced)
330,BS_41,BS_41_9_AC.pickle,70,1.3166666666666673,NCR
331,BS_41,BS_41_9_AC.pickle,75,0.6666666666666643,NCR
332,BS_41,BS_41_9_AC.pickle,78,0.6333333333333333,NCR
333,BS_41,BS_41_9_AC.pickle,80,25.0333333333333,CR (enhanced)
334,BS_41,BS_41_9_AC.pickle,101,1.4555555555555566,Inconclusive
