,animal,session,cluster ID,category,depth
292,BS_41,BS_41_7_AC.pickle,36,CR,495.0
293,BS_41,BS_41_7_AC.pickle,39,NCR,745.0
294,BS_41,BS_41_7_AC.pickle,50,NCR,920.0
295,BS_41,BS_41_7_AC.pickle,54,NCR,807.5
296,BS_41,BS_41_7_AC.pickle,55,NCR,745.0
297,BS_41,BS_41_7_AC.pickle,57,NCR,757.5
298,BS_41,BS_41_7_AC.pickle,59,CR,482.5
299,BS_41,BS_41_7_AC.pickle,62,NCR,557.5
300,BS_41,BS_41_7_AC.pickle,63,NCR,570.0
301,BS_41,BS_41_7_AC.pickle,64,CR,582.5
302,BS_41,BS_41_7_AC.pickle,73,NCR,882.5
303,BS_41,BS_41_7_AC.pickle,76,NCR,807.5
304,BS_41,BS_41_7_AC.pickle,81,NCR,532.5
305,BS_41,BS_41_7_AC.pickle,96,NCR,532.5
306,BS_41,BS_41_8_AC.pickle,13,NCR,-55.0
307,BS_41,BS_41_8_AC.pickle,15,NCR,-30.0
308,BS_41,BS_41_8_AC.pickle,16,NCR,-30.0
309,BS_41,BS_41_8_AC.pickle,17,NCR,-5.0
310,BS_41,BS_41_8_AC.pickle,25,NCR,145.0
311,BS_41,BS_41_8_AC.pickle,40,NCR,395.0
312,BS_41,BS_41_8_AC.pickle,49,NCR,-42.5
313,BS_41,BS_41_8_AC.pickle,57,NCR,-55.0
314,BS_41,BS_41_8_AC.pickle,58,NCR,-5.0
315,BS_41,BS_41_8_AC.pickle,59,CR,-5.0
316,BS_41,BS_41_8_AC.pickle,60,CR,245.0
317,BS_41,BS_41_8_AC.pickle,61,CR,145.0
318,BS_41,BS_41_8_AC.pickle,66,NCR,357.5
319,BS_41,BS_41_8_AC.pickle,67,NCR,357.5
320,BS_41,BS_41_8_AC.pickle,69,NCR,-67.5
321,BS_41,BS_41_8_AC.pickle,72,NCR,382.5
322,BS_41,BS_41_8_AC.pickle,77,CR,445.0
323,BS_41,BS_41_8_AC.pickle,79,CR,70.0
324,BS_41,BS_41_8_AC.pickle,82,CR,395.0
325,BS_41,BS_41_8_AC.pickle,89,CR,345.0
326,BS_41,BS_41_9_AC.pickle,3,CR,987.5
327,BS_41,BS_41_9_AC.pickle,23,NCR,962.5
328,BS_41,BS_41_9_AC.pickle,24,NCR,962.5
329,BS_41,BS_41_9_AC.pickle,37,CR,475.0
330,BS_41,BS_41_9_AC.pickle,70,NCR,700.0
331,BS_41,BS_41_9_AC.pickle,75,NCR,675.0
332,BS_41,BS_41_9_AC.pickle,78,NCR,662.5
333,BS_41,BS_41_9_AC.pickle,80,CR,637.5
334,BS_41,BS_41_9_AC.pickle,101,NCR,962.5
335,BS_41,BS_41_9_AC.pickle,102,NCR,987.5
336,BS_41,BS_41_9_AC.pickle,103,NCR,550.0
337,BS_41,BS_41_9_AC.pickle,109,CR,875.0
338,BS_41,BS_41_9_AC.pickle,125,NCR,937.5
339,BS_42,BS_42_10_AC.pickle,3,NCR,1057.5
340,BS_42,BS_42_10_AC.pickle,8,CR,670.0
341,BS_42,BS_42_10_AC.pickle,10,CR,470.0
342,BS_42,BS_42_10_AC.pickle,11,NCR,807.5
343,BS_42,BS_42_10_AC.pickle,17,NCR,945.0
344,BS_42,BS_42_10_AC.pickle,18,NCR,970.0
345,BS_42,BS_42_10_AC.pickle,20,NCR,995.0
346,BS_42,BS_42_10_AC.pickle,26,CR,757.5
347,BS_42,BS_42_11_AC.pickle,1,NCR,832.5
348,BS_42,BS_42_11_AC.pickle,44,CR,582.5
349,BS_42,BS_42_11_AC.pickle,48,NCR,470.0
350,BS_42,BS_42_2_AC.pickle,3,CR,1070.0
351,BS_42,BS_42_2_AC.pickle,5,CR,1170.0
352,BS_42,BS_42_2_AC.pickle,7,NCR,1082.5
353,BS_42,BS_42_2_AC.pickle,8,CR,1057.5
354,BS_42,BS_42_2_AC.pickle,9,CR,1195.0
355,BS_42,BS_42_2_AC.pickle,12,CR,1045.0
356,BS_42,BS_42_2_AC.pickle,14,CR,1020.0
357,BS_42,BS_42_2_AC.pickle,15,NCR,1220.0
358,BS_42,BS_42_2_AC.pickle,16,CR,1145.0
359,BS_42,BS_42_2_AC.pickle,17,CR,1145.0
360,BS_42,BS_42_2_AC.pickle,18,NCR,1120.0
361,BS_42,BS_42_2_AC.pickle,27,CR,695.0
362,BS_42,BS_42_2_AC.pickle,41,NCR,720.0
363,BS_42,BS_42_2_AC.pickle,48,NCR,745.0
364,BS_42,BS_42_2_AC.pickle,54,CR,1120.0
365,BS_42,BS_42_2_AC.pickle,57,CR,920.0
366,BS_42,BS_42_2_AC.pickle,61,CR,945.0
367,BS_42,BS_42_2_AC.pickle,62,CR,895.0
368,BS_42,BS_42_2_AC.pickle,64,CR,895.0
369,BS_42,BS_42_2_AC.pickle,68,CR,970.0
370,BS_42,BS_42_2_AC.pickle,69,CR,995.0
371,BS_42,BS_42_2_AC.pickle,78,NCR,870.0
372,BS_42,BS_42_2_AC.pickle,82,CR,857.5
373,BS_42,BS_42_2_AC.pickle,84,CR,832.5
374,BS_42,BS_42_2_AC.pickle,85,CR,1020.0
375,BS_42,BS_42_2_AC.pickle,86,CR,1020.0
376,BS_42,BS_42_2_AC.pickle,89,NCR,782.5
377,BS_42,BS_42_2_AC.pickle,100,NCR,707.5
378,BS_42,BS_42_2_AC.pickle,108,CR,570.0
379,BS_42,BS_42_2_AC.pickle,112,CR,1182.5
380,BS_42,BS_42_2_AC.pickle,115,NCR,595.0
381,BS_42,BS_42_2_AC.pickle,116,NCR,670.0
382,BS_42,BS_42_2_AC.pickle,118,CR,632.5
383,BS_42,BS_42_2_AC.pickle,119,NCR,920.0
384,BS_42,BS_42_2_AC.pickle,121,CR,970.0
385,BS_42,BS_42_2_AC.pickle,128,NCR,832.5
386,BS_42,BS_42_2_AC.pickle,129,NCR,757.5
387,BS_42,BS_42_2_AC.pickle,131,NCR,695.0
388,BS_42,BS_42_2_AC.pickle,135,NCR,995.0
389,BS_42,BS_42_3_AC.pickle,5,NCR,739.0
390,BS_42,BS_42_3_AC.pickle,12,CR,864.0
391,BS_42,BS_42_3_AC.pickle,19,NCR,714.0
392,BS_42,BS_42_3_AC.pickle,26,NCR,789.0
393,BS_42,BS_42_3_AC.pickle,27,NCR,364.0
394,BS_42,BS_42_3_AC.pickle,47,NCR,389.0
395,BS_42,BS_42_3_AC.pickle,48,NCR,414.0
396,BS_42,BS_42_3_AC.pickle,49,NCR,414.0
397,BS_42,BS_42_3_AC.pickle,51,CR,751.5
398,BS_42,BS_42_3_AC.pickle,52,NCR,789.0
399,BS_42,BS_42_3_AC.pickle,53,CR,589.0
400,BS_42,BS_42_3_AC.pickle,55,NCR,589.0
401,BS_42,BS_42_3_AC.pickle,56,CR,614.0
402,BS_42,BS_42_3_AC.pickle,58,NCR,576.5
403,BS_42,BS_42_3_AC.pickle,61,CR,564.0
404,BS_42,BS_42_3_AC.pickle,62,NCR,564.0
405,BS_42,BS_42_3_AC.pickle,63,CR,639.0
406,BS_42,BS_42_3_AC.pickle,66,CR,651.5
407,BS_42,BS_42_3_AC.pickle,71,CR,539.0
408,BS_42,BS_42_3_AC.pickle,73,CR,501.5
409,BS_42,BS_42_3_AC.pickle,80,CR,451.5
410,BS_42,BS_42_3_AC.pickle,82,NCR,426.5
411,BS_42,BS_42_3_AC.pickle,92,CR,839.0
412,BS_42,BS_42_3_AC.pickle,96,CR,864.0
413,BS_42,BS_42_3_AC.pickle,97,NCR,701.5
414,BS_42,BS_42_3_AC.pickle,99,NCR,339.0
415,BS_42,BS_42_3_AC.pickle,101,NCR,389.0
416,BS_42,BS_42_3_AC.pickle,102,NCR,576.5
417,BS_42,BS_42_3_AC.pickle,105,CR,551.5
418,BS_42,BS_42_3_AC.pickle,107,CR,539.0
419,BS_42,BS_42_4_AC.pickle,0,NCR,808.5
420,BS_42,BS_42_4_AC.pickle,1,NCR,858.5
421,BS_42,BS_42_4_AC.pickle,7,NCR,883.5
422,BS_42,BS_42_4_AC.pickle,12,NCR,821.0
423,BS_42,BS_42_4_AC.pickle,13,NCR,833.5
424,BS_42,BS_42_4_AC.pickle,16,CR,371.0
425,BS_42,BS_42_4_AC.pickle,18,CR,321.0
426,BS_42,BS_42_4_AC.pickle,26,CR,396.0
427,BS_42,BS_42_4_AC.pickle,29,NCR,783.5
428,BS_42,BS_42_4_AC.pickle,36,NCR,571.0
429,BS_42,BS_42_4_AC.pickle,38,NCR,683.5
430,BS_42,BS_42_4_AC.pickle,40,CR,458.5
431,BS_42,BS_42_4_AC.pickle,41,CR,458.5
432,BS_42,BS_42_4_AC.pickle,42,CR,433.5
433,BS_42,BS_42_4_AC.pickle,45,CR,158.5
434,BS_42,BS_42_4_AC.pickle,46,NCR,296.0
435,BS_42,BS_42_4_AC.pickle,47,NCR,358.5
436,BS_42,BS_42_4_AC.pickle,48,CR,333.5
437,BS_42,BS_42_4_AC.pickle,50,CR,233.5
438,BS_42,BS_42_4_AC.pickle,51,CR,258.5
439,BS_42,BS_42_4_AC.pickle,52,NCR,708.5
440,BS_42,BS_42_4_AC.pickle,57,NCR,771.0
441,BS_42,BS_42_4_AC.pickle,58,CR,596.0
442,BS_42,BS_42_4_AC.pickle,61,CR,583.5
443,BS_42,BS_42_4_AC.pickle,62,NCR,646.0
444,BS_42,BS_42_4_AC.pickle,63,NCR,646.0
445,BS_42,BS_42_4_AC.pickle,65,NCR,408.5
446,BS_42,BS_42_4_AC.pickle,66,CR,333.5
447,BS_42,BS_42_4_AC.pickle,68,CR,533.5
448,BS_42,BS_42_4_AC.pickle,69,CR,321.0
449,BS_42,BS_42_5_AC.pickle,0,NCR,1095.0
450,BS_42,BS_42_5_AC.pickle,1,CR,1070.0
451,BS_42,BS_42_5_AC.pickle,3,NCR,1057.5
