,animal,session,cluster ID,learning phase,Stimulus decoding,Choice decoding
286,BS_41,BS_41_6_AC.pickle,3,post late,0.579061872,0.5747780520650939
287,BS_41,BS_41_6_AC.pickle,6,post late,0.581940136,
288,BS_41,BS_41_6_AC.pickle,7,post late,0.559802036,0.5221183882682058
289,BS_41,BS_41_6_AC.pickle,32,post late,0.606733693,
290,BS_41,BS_41_7_AC.pickle,0,post late,0.579945238,0.6108496129391652
291,BS_41,BS_41_7_AC.pickle,24,post late,0.479275384,0.5217277880620345
292,BS_41,BS_41_7_AC.pickle,36,post late,0.499642916,0.5001971848758735
293,BS_41,BS_41_7_AC.pickle,39,post late,,
294,BS_41,BS_41_7_AC.pickle,50,post late,0.574705019,
295,BS_41,BS_41_7_AC.pickle,54,post late,0.5024,
296,BS_41,BS_41_7_AC.pickle,55,post late,0.595666667,
297,BS_41,BS_41_7_AC.pickle,57,post late,0.538657143,
298,BS_41,BS_41_7_AC.pickle,59,post late,0.546280226,0.5602521376415172
299,BS_41,BS_41_7_AC.pickle,62,post late,0.514121964,
300,BS_41,BS_41_7_AC.pickle,63,post late,0.576185714,
301,BS_41,BS_41_7_AC.pickle,64,post late,0.605054762,0.4803580552834283
302,BS_41,BS_41_7_AC.pickle,73,post late,0.588572217,
303,BS_41,BS_41_7_AC.pickle,76,post late,0.528824324,
304,BS_41,BS_41_7_AC.pickle,81,post late,0.604665918,
305,BS_41,BS_41_7_AC.pickle,96,post late,0.497423625,
306,BS_41,BS_41_8_AC.pickle,13,post late,0.613306466,0.5909335585608733
307,BS_41,BS_41_8_AC.pickle,15,post late,0.554159824,0.5298906922007534
308,BS_41,BS_41_8_AC.pickle,16,post late,0.542347921,0.4892663307699109
309,BS_41,BS_41_8_AC.pickle,17,post late,0.505561288,0.4700155400155399
310,BS_41,BS_41_8_AC.pickle,25,post late,0.557586194,0.5148590402677173
311,BS_41,BS_41_8_AC.pickle,40,post late,0.514479049,0.5053871748336357
312,BS_41,BS_41_8_AC.pickle,49,post late,0.553847873,0.4713604500797136
313,BS_41,BS_41_8_AC.pickle,57,post late,0.474523909,0.5082275132275134
314,BS_41,BS_41_8_AC.pickle,58,post late,0.651294672,0.5059296819140567
315,BS_41,BS_41_8_AC.pickle,59,post late,0.515860032,0.5533251251384274
316,BS_41,BS_41_8_AC.pickle,60,post late,0.827875802,0.5760543805400951
